Employee ID	Month	Monthly Revenue ($)	Number of New Clients	Customer Satisfaction Score (%)
E001	Jan	105000	12	87
E002	Jan	98000	8	82
E003	Jan	120000	15	90
E004	Jan	93000	9	85
E005	Jan	110000	11	88
E001	Feb	102000	10	86
E002	Feb	99000	7	80
E003	Feb	118000	13	91
E004	Feb	95000	10	83
E005	Feb	112000	12	89
E001	Mar	108000	11	84
E002	Mar	97000	9	78
E003	Mar	121000	14	92
E004	Mar	92000	8	82
E005	Mar	115000	13	90
E001	Apr	107000	12	85
E002	Apr	96000	8	79
E003	Apr	119000	16	89
E004	Apr	94000	9	84
E005	Apr	113000	14	87
E001	May	104000	10	88
E002	May	95000	9	81
E003	May	122000	15	90
E004	May	91000	8	86
E005	May	116000	13	91
E001	Jun	106000	11	89
E002	Jun	94000	8	82
E003	Jun	123000	14	93
E004	Jun	93000	7	85
E005	Jun	117000	12	88
E001	Jul	109000	13	87
E002	Jul	96000	9	83
E003	Jul	124000	16	91
E004	Jul	92000	8	80
E005	Jul	114000	14	89
E001	Aug	105000	12	86
E002	Aug	97000	7	81
E003	Aug	125000	15	92
E004	Aug	94000	10	87
E005	Aug	118000	13	90
E001	Sep	107000	11	85
E002	Sep	95000	9	84
E003	Sep	121000	14	90
E004	Sep	93000	8	83
E005	Sep	116000	12	89
E001	Oct	106000	10	88
E002	Oct	96000	8	82
E003	Oct	122000	13	91
E004	Oct	92000	7	80
E005	Oct	115000	11	87
